Season,Team_1,Team_2,Event_Date
2023-2024,Minnesota Timberwolves,Dallas Mavericks,2023-10-05
2023-2024,Dallas Mavericks,Minnesota Timberwolves,2023-10-07
2023-2024,Golden State Warriors,Los Angeles Lakers,2023-10-08
2023-2024,Milwaukee Bucks,Chicago Bulls,2023-10-08
2023-2024,Detroit Pistons,Phoenix Suns,2023-10-08
2023-2024,Boston Celtics,Philadelphia 76ers,2023-10-08
2023-2024,Memphis Grizzlies,Indiana Pacers,2023-10-09
2023-2024,Toronto Raptors,Sacramento Kings,2023-10-09
2023-2024,Los Angeles Clippers,Utah Jazz,2023-10-09
2023-2024,New York Knicks,Boston Celtics,2023-10-09
2023-2024,Oklahoma City Thunder,San Antonio Spurs,2023-10-10
2023-2024,Los Angeles Lakers,Brooklyn Nets,2023-10-10
2023-2024,Atlanta Hawks,Cleveland Cavaliers,2023-10-10
2023-2024,Miami Heat,Charlotte Hornets,2023-10-10
2023-2024,Houston Rockets,Indiana Pacers,2023-10-11
2023-2024,Memphis Grizzlies,Milwaukee Bucks,2023-10-11
2023-2024,New Orleans Pelicans,Orlando Magic,2023-10-11
2023-2024,Los Angeles Clippers,Utah Jazz,2023-10-11
2023-2024,Phoenix Suns,Denver Nuggets,2023-10-11
2023-2024,Philadelphia 76ers,Boston Celtics,2023-10-11
2023-2024,Los Angeles Lakers,Sacramento Kings,2023-10-12
2023-2024,Cleveland Cavaliers,Orlando Magic,2023-10-12
2023-2024,Oklahoma City Thunder,Detroit Pistons,2023-10-12
2023-2024,Washington Wizards,Charlotte Hornets,2023-10-12
2023-2024,Atlanta Hawks,Memphis Grizzlies,2023-10-12
2023-2024,Chicago Bulls,Denver Nuggets,2023-10-13
2023-2024,New Orleans Pelicans,Houston Rockets,2023-10-13
2023-2024,Portland Trail Blazers,Phoenix Suns,2023-10-13
2023-2024,San Antonio Spurs,Miami Heat,2023-10-13
2023-2024,Los Angeles Lakers,Golden State Warriors,2023-10-14
2023-2024,Atlanta Hawks,New Orleans Pelicans,2023-10-14
2023-2024,New York Knicks,Minnesota Timberwolves,2023-10-14
2023-2024,Utah Jazz,Portland Trail Blazers,2023-10-15
2023-2024,Charlotte Hornets,Oklahoma City Thunder,2023-10-15
2023-2024,Miami Heat,Memphis Grizzlies,2023-10-15
2023-2024,Los Angeles Lakers,Milwaukee Bucks,2023-10-15
2023-2024,Denver Nuggets,Chicago Bulls,2023-10-16
2023-2024,Sacramento Kings,Golden State Warriors,2023-10-16
2023-2024,Indiana Pacers,Atlanta Hawks,2023-10-16
2023-2024,Brooklyn Nets,Philadelphia 76ers,2023-10-16
2023-2024,Boston Celtics,New York Knicks,2023-10-17
2023-2024,Orlando Magic,New Orleans Pelicans,2023-10-17
2023-2024,Phoenix Suns,Portland Trail Blazers,2023-10-17
2023-2024,San Antonio Spurs,Houston Rockets,2023-10-17
2023-2024,Miami Heat,Brooklyn Nets,2023-10-18
2023-2024,New York Knicks,Washington Wizards,2023-10-18
2023-2024,Los Angeles Clippers,Denver Nuggets,2023-10-18
2023-2024,Oklahoma City Thunder,Milwaukee Bucks,2023-10-18
2023-2024,Chicago Bulls,Toronto Raptors,2023-10-18
2023-2024,Charlotte Hornets,Boston Celtics,2023-10-19
2023-2024,Golden State Warriors,Sacramento Kings,2023-10-19
2023-2024,San Antonio Spurs,Houston Rockets,2023-10-19
